class_id,class_name,cost,hand_size,hands,discards,potential_dollars,potential_mult,potential_xmult,potential_chips,object_type,rank_index,suit_index,is_ace,is_face
259,c_medium,4,,,,,,,,spectral,,,,
260,c_ouija,4,,,,,,,,spectral,,,,
261,c_sigil,4,,,,,,,,spectral,,,,
262,c_soul,4,,,,,,,,spectral,,,,
263,c_talisman,4,,,,,,,,spectral,,,,
264,c_trance,4,,,,,,,,spectral,,,,
265,c_wraith,4,,,,,,,,spectral,,,,
266,stake_black,,,,,,,,,stake,,,,
267,stake_blue,,,,,,,,,stake,,,,
268,stake_gold,,,,,,,,,stake,,,,
269,stake_green,,,,,,,,,stake,,,,
270,stake_orange,,,,,,,,,stake,,,,
271,stake_purple,,,,,,,,,stake,,,,
272,stake_red,,,,,,,,,stake,,,,
273,stake_white,,,,,,,,,stake,,,,
274,tag_boss,,,,,,,,,tag,,,,
275,tag_buffoon,,,,,,,,,tag,,,,
276,tag_charm,,,,,,,,,tag,,,,
277,tag_coupon,,,,,,,,,tag,,,,
278,tag_d_six,,,,,,,,,tag,,,,
279,tag_double,,,,,,,,,tag,,,,
280,tag_economy,,,,,,,,,tag,,,,
281,tag_ethereal,,,,,,,,,tag,,,,
282,tag_foil,,,,,,,,,tag,,,,
283,tag_garbage,,,,,,,,,tag,,,,
284,tag_handy,,,,,,,,,tag,,,,
285,tag_holo,,,,,,,,,tag,,,,
286,tag_investment,,,,,,,,,tag,,,,
287,tag_juggle,,,,,,,,,tag,,,,
288,tag_meteor,,,,,,,,,tag,,,,
289,tag_negative,,,,,,,,,tag,,,,
290,tag_orbital,,,,,,,,,tag,,,,
291,tag_polychrome,,,,,,,,,tag,,,,
292,tag_rare,,,,,,,,,tag,,,,
293,tag_skip,,,,,,,,,tag,,,,
294,tag_standard,,,,,,,,,tag,,,,
295,tag_top_up,,,,,,,,,tag,,,,
296,tag_uncommon,,,,,,,,,tag,,,,
297,tag_voucher,,,,,,,,,tag,,,,
298,c_chariot,3,,,,,,,,tarot,,,,
299,c_death,3,,,,,,,,tarot,,,,
300,c_devil,3,,,,,,,,tarot,,,,
301,c_emperor,3,,,,,,,,tarot,,,,
302,c_empress,3,,,,,,,,tarot,,,,
303,c_fool,3,,,,,,,,tarot,,,,
304,c_hanged_man,3,,,,,,,,tarot,,,,
305,c_heirophant,3,,,,,,,,tarot,,,,
306,c_hermit,3,,,,,,,,tarot,,,,
307,c_high_priestess,3,,,,,,,,tarot,,,,
308,c_judgement,3,,,,,,,,tarot,,,,
309,c_justice,3,,,,,,,,tarot,,,,
310,c_lovers,3,,,,,,,,tarot,,,,
311,c_magician,3,,,,,,,,tarot,,,,
312,c_moon,3,,,,,,,,tarot,,,,
313,c_star,3,,,,,,,,tarot,,,,
314,c_strength,3,,,,,,,,tarot,,,,
315,c_sun,3,,,,,,,,tarot,,,,
316,c_temperance,3,,,,,,,,tarot,,,,
317,c_tower,3,,,,,,,,tarot,,,,
318,c_wheel_of_fortune,3,,,,,,,,tarot,,,,
319,c_world,3,,,,,,,,tarot,,,,
320,v_antimatter,10,,,,,,,,voucher,,,,
321,v_blank,10,,,,,,,,voucher,,,,
322,v_clearance_sale,10,,,,,,,,voucher,,,,
323,v_crystal_ball,10,,,,,,,,voucher,,,,
324,v_directors_cut,10,,,,,,,,voucher,,,,
325,v_glow_up,10,,,,,,,,voucher,,,,
326,v_grabber,10,,,,,,,,voucher,,,,
327,v_hieroglyph,10,,,,,,,,voucher,,,,
328,v_hone,10,,,,,,,,voucher,,,,
329,v_illusion,10,,,,,,,,voucher,,,,
330,v_liquidation,10,,,,,,,,voucher,,,,
331,v_magic_trick,10,,,,,,,,voucher,,,,
332,v_money_tree,10,,,,,,,,voucher,,,,
333,v_nacho_tong,10,,,,,,,,voucher,,,,
334,v_observatory,10,,,,,,,,voucher,,,,
335,v_omen_globe,10,,,,,,,,voucher,,,,
336,v_overstock_norm,10,,,,,,,,voucher,,,,
337,v_overstock_plus,10,,,,,,,,voucher,,,,
338,v_paint_brush,10,,,,,,,,voucher,,,,
339,v_palette,10,,,,,,,,voucher,,,,
340,v_petroglyph,10,,,,,,,,voucher,,,,
341,v_planet_merchant,10,,,,,,,,voucher,,,,
342,v_planet_tycoon,10,,,,,,,,voucher,,,,
343,v_recyclomancy,10,,,,,,,,voucher,,,,
344,v_reroll_glut,10,,,,,,,,voucher,,,,
345,v_reroll_surplus,10,,,,,,,,voucher,,,,
346,v_retcon,10,,,,,,,,voucher,,,,
347,v_seed_money,10,,,,,,,,voucher,,,,
348,v_tarot_merchant,10,,,,,,,,voucher,,,,
349,v_tarot_tycoon,10,,,,,,,,voucher,,,,
350,v_telescope,10,,,,,,,,voucher,,,,
351,v_wasteful,10,,,,,,,,voucher,,,,
352,p_arcana_jumbo,6,,,,,,,,pack,,,,
353,p_arcana_mega,8,,,,,,,,pack,,,,
354,p_arcana_normal,4,,,,,,,,pack,,,,
355,p_buffoon_jumbo,6,,,,,,,,pack,,,,
356,p_buffoon_mega,8,,,,,,,,pack,,,,
357,p_buffoon_normal,4,,,,,,,,pack,,,,
358,p_celestial_jumbo,6,,,,,,,,pack,,,,
359,p_celestial_mega,8,,,,,,,,pack,,,,
360,p_celestial_normal,4,,,,,,,,pack,,,,
361,p_spectral_jumbo,6,,,,,,,,pack,,,,
362,p_spectral_mega,8,,,,,,,,pack,,,,
363,p_spectral_normal,4,,,,,,,,pack,,,,
364,p_standard_jumbo,6,,,,,,,,pack,,,,
365,p_standard_mega,8,,,,,,,,pack,,,,
366,p_standard_normal,4,,,,,,,,pack,,,,
367,rental,,,,,,,,,sticker,,,,
368,perishable,,,,,,,,,sticker,,,,
369,eternal,,,,,,,,,sticker,,,,
370,bl_arm,,,,,,,,,blind,,,,
371,bl_big,,,,,,,,,blind,,,,
372,bl_club,,,,,,,,,blind,,,,
373,bl_eye,,,,,,,,,blind,,,,
374,bl_final_acorn,,,,,,,,,blind,,,,
375,bl_final_bell,,,,,,,,,blind,,,,
376,bl_final_heart,,,,,,,,,blind,,,,
377,bl_final_leaf,,,,,,,,,blind,,,,
378,bl_final_vessel,,,,,,,,,blind,,,,
379,bl_fish,,,,,,,,,blind,,,,
380,bl_flint,,,,,,,,,blind,,,,
381,bl_goad,,,,,,,,,blind,,,,
382,bl_head,,,,,,,,,blind,,,,
383,bl_hook,,,,,,,,,blind,,,,
384,bl_house,,,,,,,,,blind,,,,
385,bl_manacle,,,,,,,,,blind,,,,
386,bl_mark,,,,,,,,,blind,,,,
387,bl_mouth,,,,,,,,,blind,,,,
388,bl_needle,,,,,,,,,blind,,,,
389,bl_ox,,,,,,,,,blind,,,,
390,bl_pillar,,,,,,,,,blind,,,,
391,bl_plant,,,,,,,,,blind,,,,
392,bl_psychic,,,,,,,,,blind,,,,
393,bl_serpent,,,,,,,,,blind,,,,
394,bl_small,,,,,,,,,blind,,,,
395,bl_tooth,,,,,,,,,blind,,,,
396,bl_wall,,,,,,,,,blind,,,,
397,bl_water,,,,,,,,,blind,,,,
398,bl_wheel,,,,,,,,,blind,,,,
399,bl_window,,,,,,,,,blind,,,,
